fieldName,code,definition
bioticClass,Zooplankton,Coastal and Marine Ecological Classification Standard
bioticClass,Floating/Suspended Plants and Macroalgae,Coastal and Marine Ecological Classification Standard
bioticClass,Phytoplankton,Coastal and Marine Ecological Classification Standard
bioticClass,Floating/Suspended Microbes,Coastal and Marine Ecological Classification Standard
bioticClass,Reef Biota,Coastal and Marine Ecological Classification Standard
bioticClass,Faunal Bed,Coastal and Marine Ecological Classification Standard
bioticClass,Microbial Communities,Coastal and Marine Ecological Classification Standard
bioticClass,Moss and Lichen Communities,Coastal and Marine Ecological Classification Standard
bioticClass,Aquatic Vegetation Bed,Coastal and Marine Ecological Classification Standard
bioticClass,Emergent Wetland,Coastal and Marine Ecological Classification Standard
bioticClass,Scrub-Shrub Wetland,Coastal and Marine Ecological Classification Standard
bioticClass,Forested Wetland,Coastal and Marine Ecological Classification Standard
substrateClass,Rock Substrate,Coastal and Marine Ecological Classification Standard
substrateClass,Unconsolidated Mineral Substrate,Coastal and Marine Ecological Classification Standard
substrateClass,Algal Substrate,Coastal and Marine Ecological Classification Standard
substrateClass,Coral Substrate,Coastal and Marine Ecological Classification Standard
substrateClass,Organic Substrate,Coastal and Marine Ecological Classification Standard
substrateClass,Ooze Substrate,Coastal and Marine Ecological Classification Standard
substrateClass,Shell Substrate,Coastal and Marine Ecological Classification Standard
substrateClass,Worm Substrate,Coastal and Marine Ecological Classification Standard
substrateClass,Anthropogenic Rock,Coastal and Marine Ecological Classification Standard
substrateClass,Anthropogenic Wood,Coastal and Marine Ecological Classification Standard
substrateClass,Construction Materials,Coastal and Marine Ecological Classification Standard
substrateClass,Metal,Coastal and Marine Ecological Classification Standard
substrateClass,Trash,Coastal and Marine Ecological Classification Standard
geoform,Apron,Coastal and Marine Ecological Classification Standard
geoform,Bank,Coastal and Marine Ecological Classification Standard
geoform,Bar,Coastal and Marine Ecological Classification Standard
geoform,Basin,Coastal and Marine Ecological Classification Standard
geoform,Beach,Coastal and Marine Ecological Classification Standard
geoform,Beach Berm,Coastal and Marine Ecological Classification Standard
geoform,Boulder Field,Coastal and Marine Ecological Classification Standard
geoform,Cave,Coastal and Marine Ecological Classification Standard
geoform,Channel,Coastal and Marine Ecological Classification Standard
geoform,Cone,Coastal and Marine Ecological Classification Standard
geoform,Cove,Coastal and Marine Ecological Classification Standard
geoform,Delta,Coastal and Marine Ecological Classification Standard
geoform,Delta Plain,Coastal and Marine Ecological Classification Standard
geoform,Depression,Coastal and Marine Ecological Classification Standard
geoform,Diapir,Coastal and Marine Ecological Classification Standard
geoform,Dike,Coastal and Marine Ecological Classification Standard
geoform,Drumlin,Coastal and Marine Ecological Classification Standard
geoform,Drumlin Field,Coastal and Marine Ecological Classification Standard
geoform,Dune Field,Coastal and Marine Ecological Classification Standard
geoform,Dune,Coastal and Marine Ecological Classification Standard
geoform,Fan,Coastal and Marine Ecological Classification Standard
geoform,Flat,Coastal and Marine Ecological Classification Standard
geoform,Fluvio-Marine Deposit,Coastal and Marine Ecological Classification Standard
geoform,Fracture,Coastal and Marine Ecological Classification Standard
geoform,Hole/Pit,Coastal and Marine Ecological Classification Standard
geoform,Hydrothermal Vent Field,Coastal and Marine Ecological Classification Standard
geoform,Hydrothermal Vent,Coastal and Marine Ecological Classification Standard
geoform,Inlet,Coastal and Marine Ecological Classification Standard
geoform,Island,Coastal and Marine Ecological Classification Standard
geoform,Karren,Coastal and Marine Ecological Classification Standard
geoform,Knob,Coastal and Marine Ecological Classification Standard
geoform,Lagoon,Coastal and Marine Ecological Classification Standard
geoform,Lava Field/Plain,Coastal and Marine Ecological Classification Standard
geoform,Ledge,Coastal and Marine Ecological Classification Standard
geoform,Marine Lake,Coastal and Marine Ecological Classification Standard
geoform,Marsh Platform,Coastal and Marine Ecological Classification Standard
geoform,Megaripples,Coastal and Marine Ecological Classification Standard
geoform,Moraine,Coastal and Marine Ecological Classification Standard
